experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.05,0.05,0,0.010140724931868456
basin,stag_hunt,standard_pg,0.05,0.095,0,0.01072847414339064
basin,stag_hunt,standard_pg,0.05,0.14,0,0.010454783459769346
basin,stag_hunt,standard_pg,0.05,0.185,0,0.010211009621717112
basin,stag_hunt,standard_pg,0.05,0.22999999999999998,0,0.010628962401194384
basin,stag_hunt,standard_pg,0.05,0.27499999999999997,0,0.010680817471289942
basin,stag_hunt,standard_pg,0.05,0.32,0,0.010554369456812266
basin,stag_hunt,standard_pg,0.05,0.365,0,0.010854280299448718
basin,stag_hunt,standard_pg,0.05,0.41,0,0.010665155774402255
basin,stag_hunt,standard_pg,0.05,0.45499999999999996,0,0.010705220589550915
basin,stag_hunt,standard_pg,0.05,0.49999999999999994,0,0.011020067697911588
basin,stag_hunt,standard_pg,0.05,0.545,0,0.010922456178124389
basin,stag_hunt,standard_pg,0.05,0.5900000000000001,0,0.010878134567097977
basin,stag_hunt,standard_pg,0.05,0.635,0,0.010850624671578253
basin,stag_hunt,standard_pg,0.05,0.68,0,0.01156785694336547
basin,stag_hunt,standard_pg,0.05,0.725,0,0.012006546290641903
basin,stag_hunt,standard_pg,0.05,0.77,0,0.011300394330767486
basin,stag_hunt,standard_pg,0.05,0.8150000000000001,0,0.011902239270788038
basin,stag_hunt,standard_pg,0.05,0.86,0,0.01300113792110012
basin,stag_hunt,standard_pg,0.05,0.905,0,0.013281894823951505
basin,stag_hunt,standard_pg,0.05,0.95,0,0.020383320305913714
basin,stag_hunt,standard_pg,0.095,0.05,0,0.010554952335419357
basin,stag_hunt,standard_pg,0.095,0.095,0,0.011571176351926926
basin,stag_hunt,standard_pg,0.095,0.14,0,0.01158531258095994
basin,stag_hunt,standard_pg,0.095,0.185,0,0.011704656810835717
basin,stag_hunt,standard_pg,0.095,0.22999999999999998,0,0.012057755083929386
basin,stag_hunt,standard_pg,0.095,0.27499999999999997,0,0.012164046481854622
basin,stag_hunt,standard_pg,0.095,0.32,0,0.012169483363181594
basin,stag_hunt,standard_pg,0.095,0.365,0,0.012118928546283164
basin,stag_hunt,standard_pg,0.095,0.41,0,0.011769837685367246
basin,stag_hunt,standard_pg,0.095,0.45499999999999996,0,0.012618282969352076
basin,stag_hunt,standard_pg,0.095,0.49999999999999994,0,0.011784787099502283
basin,stag_hunt,standard_pg,0.095,0.545,0,0.0123714784135401
basin,stag_hunt,standard_pg,0.095,0.5900000000000001,0,0.012672379970923513
basin,stag_hunt,standard_pg,0.095,0.635,0,0.012462714144167695
basin,stag_hunt,standard_pg,0.095,0.68,0,0.012435351186166633
basin,stag_hunt,standard_pg,0.095,0.725,0,0.013094251579012674
basin,stag_hunt,standard_pg,0.095,0.77,0,0.013484692323847348
basin,stag_hunt,standard_pg,0.095,0.8150000000000001,0,0.013960986263237968
basin,stag_hunt,standard_pg,0.095,0.86,0,0.014721825103164877
basin,stag_hunt,standard_pg,0.095,0.905,0,0.015560170101116917
basin,stag_hunt,standard_pg,0.095,0.95,0,0.032390740177466744
basin,stag_hunt,standard_pg,0.14,0.05,0,0.010560596141868168
basin,stag_hunt,standard_pg,0.14,0.095,0,0.012194369224485004
basin,stag_hunt,standard_pg,0.14,0.14,0,0.012306128263277628
basin,stag_hunt,standard_pg,0.14,0.185,0,0.01248876981277123
basin,stag_hunt,standard_pg,0.14,0.22999999999999998,0,0.01242947096596537
basin,stag_hunt,standard_pg,0.14,0.27499999999999997,0,0.012426166951285672
basin,stag_hunt,standard_pg,0.14,0.32,0,0.012621088072694174
basin,stag_hunt,standard_pg,0.14,0.365,0,0.013097328022774126
basin,stag_hunt,standard_pg,0.14,0.41,0,0.013664908679664616
