experiment,game,method,seed,success,restarts,final_reward_mean
restart,stag_hunt,standard_pg,0,1,2,3.3835184907564777
restart,stag_hunt,standard_pg,1,1,1,3.285571169605475
restart,stag_hunt,standard_pg,2,1,2,3.8655813574435953
restart,stag_hunt,standard_pg,3,1,1,3.8423772499651925
restart,stag_hunt,standard_pg,4,1,1,3.84455227114213
restart,stag_hunt,standard_pg,5,1,1,3.8708431421564358
restart,stag_hunt,standard_pg,6,1,1,3.845069809139247
restart,stag_hunt,standard_pg,7,1,0,3.8437263121566794
restart,stag_hunt,standard_pg,8,1,1,3.870122801066502
restart,stag_hunt,standard_pg,9,1,0,3.8643098155240128
restart,stag_hunt,standard_pg,10,1,1,3.8879681926370573
restart,stag_hunt,standard_pg,11,1,2,3.8600992923817725
restart,stag_hunt,standard_pg,12,1,4,3.8444068574473915
restart,stag_hunt,standard_pg,13,1,4,3.7992009319785764
restart,stag_hunt,standard_pg,14,1,3,3.8535886920498075
restart,stag_hunt,standard_pg,15,1,4,3.8149631148469307
restart,stag_hunt,standard_pg,16,1,1,3.9058584300528016
restart,stag_hunt,standard_pg,17,1,2,3.8461836467464643
restart,stag_hunt,standard_pg,18,1,0,3.894248424051498
restart,stag_hunt,standard_pg,19,1,2,3.871869890199931
restart,stag_hunt,meta_mapg,0,1,1,3.690186576525507
restart,stag_hunt,meta_mapg,1,1,1,3.7972736206195687
restart,stag_hunt,meta_mapg,2,1,2,3.871181083685668
restart,stag_hunt,meta_mapg,3,1,0,3.5218501885641214
restart,stag_hunt,meta_mapg,4,1,1,3.8598094530024794
restart,stag_hunt,meta_mapg,5,1,1,3.8757438011138685
restart,stag_hunt,meta_mapg,6,1,1,3.8613130921127814
restart,stag_hunt,meta_mapg,7,1,0,3.8573636726021214
restart,stag_hunt,meta_mapg,8,1,1,3.8755470728025783
restart,stag_hunt,meta_mapg,9,1,0,3.8730951206884843
restart,stag_hunt,meta_mapg,10,1,1,3.888822488041197
restart,stag_hunt,meta_mapg,11,1,2,3.863583154520871
restart,stag_hunt,meta_mapg,12,1,2,3.782885001102147
restart,stag_hunt,meta_mapg,13,1,0,3.745414035290232
restart,stag_hunt,meta_mapg,14,1,3,3.8660125052035594
restart,stag_hunt,meta_mapg,15,1,2,3.7848644157792095
restart,stag_hunt,meta_mapg,16,1,1,3.9059859221085356
restart,stag_hunt,meta_mapg,17,1,0,3.776146306418666
restart,stag_hunt,meta_mapg,18,1,0,3.8945238835634743
restart,stag_hunt,meta_mapg,19,1,1,3.6947528862085037
restart,ipd,standard_pg,0,1,12,27.756198098371037
restart,ipd,standard_pg,1,0,12,9.81337934259847
restart,ipd,standard_pg,2,0,12,9.83183631266288
restart,ipd,standard_pg,3,1,9,28.858767304456304
restart,ipd,standard_pg,4,0,12,9.903248190409943
restart,ipd,standard_pg,5,0,12,9.873242374853717
restart,ipd,standard_pg,6,1,4,28.331399695687246
restart,ipd,standard_pg,7,0,12,11.285278969400753
restart,ipd,standard_pg,8,0,12,23.78952264436966
restart,ipd,standard_pg,9,1,1,28.826118775995234
restart,ipd,standard_pg,10,0,12,9.930061511759959
restart,ipd,standard_pg,11,0,12,9.842907234341196
restart,ipd,standard_pg,12,0,12,9.833826985667649
restart,ipd,standard_pg,13,0,12,9.828173525814773
restart,ipd,standard_pg,14,1,8,28.834584449002755
restart,ipd,standard_pg,15,0,12,9.987597772604477
restart,ipd,standard_pg,16,1,12,28.871477622207323
restart,ipd,standard_pg,17,0,12,10.02232408519977
restart,ipd,standard_pg,18,0,12,10.128625149849956
restart,ipd,standard_pg,19,0,12,9.892621954159882
restart,ipd,meta_mapg,0,1,1,27.710330186080377
restart,ipd,meta_mapg,1,0,12,9.82663184043335
restart,ipd,meta_mapg,2,0,12,24.106018542947357
restart,ipd,meta_mapg,3,1,5,28.891414057970376
restart,ipd,meta_mapg,4,1,4,28.747161282561166
restart,ipd,meta_mapg,5,1,9,28.418621901383638
restart,ipd,meta_mapg,6,1,3,28.491287395919198
restart,ipd,meta_mapg,7,1,9,24.649491252241205
restart,ipd,meta_mapg,8,1,4,28.575005371483904
restart,ipd,meta_mapg,9,1,1,28.881339660851737
restart,ipd,meta_mapg,10,1,8,28.949274739086952
restart,ipd,meta_mapg,11,1,7,28.91994423825784
restart,ipd,meta_mapg,12,0,12,15.749044844094488
restart,ipd,meta_mapg,13,1,0,28.678613826991125
restart,ipd,meta_mapg,14,1,4,28.912728188782182
restart,ipd,meta_mapg,15,1,0,18.747254640508398
restart,ipd,meta_mapg,16,1,11,26.556535184648528
restart,ipd,meta_mapg,17,1,0,28.566512382356795
restart,ipd,meta_mapg,18,1,4,24.632206166899934
restart,ipd,meta_mapg,19,1,0,28.918128018888396
