experiment,game,method,trajectory_id,init_p1,init_p2,step,coop_p1,coop_p2,success
trajectory,stag_hunt,standard_pg,0,0.08,0.08,0,0.07508533983252905,0.07506286380223459,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,2,0.06707565030987624,0.06702368393729617,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,4,0.0609684890018053,0.06085798108449916,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,6,0.0560139789078985,0.05598844129819732,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,8,0.051303493135181434,0.05134578946978399,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,10,0.047495188252160314,0.047454659574217094,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,12,0.04465337819933317,0.04456545250377586,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,14,0.041842479789793594,0.0417482133900647,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,16,0.0395671361849264,0.03945852794360775,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,18,0.0375872775417851,0.03745922030582998,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,20,0.035526534254851715,0.03544704132345081,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,22,0.033974597149505105,0.03390941524509281,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,24,0.03234235348028748,0.03227681583904641,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,26,0.030984635565199592,0.030916196213329635,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,28,0.029754926684121722,0.02969199605193862,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,30,0.028633745613054956,0.028584930161887453,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,32,0.027613225433115302,0.02756581303955067,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,34,0.026584800918237474,0.026522966372618976,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,36,0.02580745586429389,0.02576429716874849,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,38,0.025006416116606662,0.024964289997156695,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,40,0.024347364585733926,0.024310912324408684,0
